,Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
224,Jubilee,Westbound,Dollis Hill,Neasden,0.85,1.38,1.62,1.5
225,Jubilee,Westbound,Neasden,Wembley Park,2.28,2.65,3.76,3.53
226,Jubilee,Westbound,Wembley Park,Kingsbury,2.85,3.47,4.0,4.0
227,Jubilee,Westbound,Kingsbury,Queensbury,1.33,1.85,2.0,2.0
228,Jubilee,Westbound,Queensbury,Canons Park,1.71,2.23,2.5,2.5
229,Jubilee,Westbound,Canons Park,Stanmore,1.27,2.87,3.24,3.09
230,Northern,Southbound,Edgware,Burnt Oak,1.47,2.43,2.5,2.5
231,Northern,Southbound,Burnt Oak,Colindale,1.31,1.98,2.5,2.5
232,Northern,Southbound,Colindale,Hendon Central,2.1,2.83,3.0,3.0
233,Northern,Southbound,Hendon Central,Brent Cross,1.1,1.73,2.0,2.0
234,Northern,Southbound,Brent Cross,Golders Green,1.55,2.57,3.03,3.64
235,Northern,Southbound,Golders Green,Hampstead,2.34,3.42,3.5,3.5
236,Northern,Southbound,Hampstead,Belsize Park,1.2,1.82,2.0,2.0
237,Northern,Southbound,Belsize Park,Chalk Farm,1.1,1.77,2.0,2.0
238,Northern,Southbound,Chalk Farm,Camden Town,0.85,1.53,2.62,2.56
239,Northern,Southbound,High Barnet,Totteridge & Whetstone,2.46,3.67,3.5,3.5
240,Northern,Southbound,Totteridge & Whetstone,Woodside Park,1.5,2.23,2.5,2.5
241,Northern,Southbound,Woodside Park,West Finchley,0.98,1.7,1.5,1.5
242,Northern,Southbound,West Finchley,Finchley Central,1.14,2.08,3.13,2.51
243,Northern,Southbound,Mill Hill East,Finchley Central,1.52,2.75,3.27,3.0
244,Northern,Southbound,Finchley Central,East Finchley,2.42,3.37,3.5,3.5
245,Northern,Southbound,East Finchley,Highgate,1.63,3.0,3.0,3.0
246,Northern,Southbound,Highgate,Archway,1.7,2.8,3.0,3.0
247,Northern,Southbound,Archway,Tufnell Park,0.88,1.6,1.5,1.5
248,Northern,Southbound,Tufnell Park,Kentish Town,0.8,1.42,1.5,1.5
249,Northern,Southbound,Kentish Town,Camden Town,1.15,1.93,3.08,3.08
