,station_from,station_to,line,direction,distance_kms,un-impeded_running_time,running_time_av
358,Earls Court,Gloucester Road,Piccadilly,Eastbound,0.78,1.37,1.5
359,Gloucester Road,South Kensington,Piccadilly,Eastbound,0.7,1.28,1.5
360,South Kensington,Knightsbridge,Piccadilly,Eastbound,1.22,2.48,3.0
361,Knightsbridge,Hyde Park Corner,Piccadilly,Eastbound,0.51,1.1,1.5
362,Hyde Park Corner,Green Park,Piccadilly,Eastbound,1.06,1.73,2.01
363,Green Park,Piccadilly Circus,Piccadilly,Eastbound,0.56,1.1,1.5
364,Piccadilly Circus,Leicester Square,Piccadilly,Eastbound,0.49,1.17,1.5
365,Leicester Square,Covent Garden,Piccadilly,Eastbound,0.25,0.77,1.0
366,Covent Garden,Holborn,Piccadilly,Eastbound,0.59,1.4,1.5
367,Holborn,Russell Square,Piccadilly,Eastbound,0.72,1.55,2.0
368,Russell Square,Kings Cross St Pancras,Piccadilly,Eastbound,0.91,1.9,2.26
