,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
193,Russell Square,530207,182122,51.523012836646224,-0.1245901968726192,1,WC1N 1LG
194,Seven Sisters,533646,188927,51.58336204399537,-0.072466822518891,3,N15 5LA
195,Shepherds Bush,523741,179904,51.504531795613886,-0.2185191566688487,2,W12 8LH
196,Sloane Square,528080,178657,51.49235951048056,-0.1564888560570236,1,SW1W 8BB
197,Snaresbrook,540161,188828,51.58089131157066,0.021463927810755,4,E11 1QE
198,South Ealing,517605,179437,51.50164352033085,-0.3070402394612233,3,W5 4QB
199,South Harrow,514334,186376,51.56467959482167,-0.351893963731605,5,HA2 8HN
200,South Kensington,526865,178817,51.49407108325524,-0.1739230213376395,1,SW7 2NB
201,South Kenton,517350,187153,51.57104394755128,-0.3081429717620929,4,HA9 8QT
202,South Ruislip,511080,185437,51.55688965147795,-0.3991159010068219,5,HA4 6TP
203,South Wimbledon,525828,170033,51.41536039779992,-0.1919745440990572,"3,4",SW19 1DE
204,South Woodford,540577,190026,51.59155266475493,0.0279430783744094,4,E18 1JJ
205,Southfields,524730,173291,51.44488297741004,-0.2066093830909312,3,SW18 5RJ
206,Southgate,529675,194278,51.63237564173069,-0.1277700463078405,4,N14 5BH
207,Southwark,531566,180025,51.50385344972166,-0.1057949389250921,1,SE1 8NW
208,St James Park,529629,179503,51.49960957772611,-0.1338787543411247,1,SW1H 0BD
209,St Johns Wood,526742,183352,51.53485412839329,-0.1740648386620702,2,NW8 6DN
210,St Pauls,532105,181261,51.51483513873988,-0.0975710001169853,1,EC2V 6AA
211,Stamford Brook,521913,178738,51.49444956856966,-0.245246306027922,2,W6 0SB
212,Stanmore,517574,192569,51.619672950483576,-0.3030992875952985,5,HA7 4PD
213,Stepney Green,535566,182149,51.521995758615454,-0.047382523194855,2,E1 4AQ
214,Stockwell,530473,176470,51.47215905711563,-0.122846303356526,2,SW9 9AE
215,Stonebridge Park,519690,184197,51.54398610565641,-0.2754004371046793,3,NW10 0RW
216,Stratford,538533,184421,51.54169257587399,-0.0037516410271907,3,E15 1AZ
217,Sudbury Hill,515427,185584,51.55733901102981,-0.3363921085382283,4,HA1 3RA
218,Sudbury Town,516832,184955,51.55139692710825,-0.3163434799075774,4,HA0 2LA
219,Swiss Cottage,526611,184259,51.5430345616616,-0.1756266026411379,2,NW3 6HY
220,Temple,530995,180810,51.51104042360467,-0.1137257495312543,1,WC2R 2PH
221,Theydon Bois,545509,199180,51.67255225418,0.1028907368816818,6,CM16 7EU
222,Tooting Bec,528015,172366,51.43583780495548,-0.1597004908317375,3,SW17 9AH
223,Tooting Broadway,527415,171373,51.42704887092591,-0.1686845257776603,3,SW17 0SU
224,Tottenham Court Road,529774,181354,51.516210657936185,-0.1311104379402324,1,W1D 2DA
225,Tottenham Hale,534483,189465,51.58799768229062,-0.0601878224855683,3,N17 9LR
226,Totteridge & Whetstone,526111,193951,51.63024642876388,-0.1793542612333949,4,N20 9QP
227,Tower Hill,533566,180805,51.51039415022928,-0.0767011981209769,1,EC3N 4DJ
228,Tufnell Park,529200,185816,51.55644057500823,-0.1377421740527929,2,N19 5QB
229,Turnham Green,521267,178804,51.49518152685563,-0.2545245642842539,2,W4 1LR
230,Turnpike Lane,531524,189650,51.59035796825513,-0.1028050405776601,3,N15 3NX
231,Upminster,556167,186833,51.55876377100152,0.2514008048009922,6,RM14 2TD
232,Upminster Bridge,555002,186681,51.55771918780094,0.2345418919290422,6,RM12 6PL
233,Upney,545844,184260,51.53840581666546,0.1015317446641368,4,IG11 9LS
234,Upton Park,541204,183931,51.536628259878114,0.0345418397236073,3,E13 9AP
235,Uxbridge,505698,184161,51.54645372786724,-0.4771015464209747,6,UB8 1JZ
236,Vauxhall,530366,177978,51.48573560145266,-0.1238299519704192,"1,2",SW8 1SR
237,Victoria,528941,179131,51.49642371956767,-0.1439207051263039,1,SW1E 5JX
238,Walthamstow Central,537286,188986,51.58301808337606,-0.0199405450055509,3,E17 7LP
239,Wanstead,540685,188176,51.57490219957087,0.028760472436225,4,E11 2NT
240,Warren Street,529253,182272,51.524579764761874,-0.1382783305384803,1,NW1 3AA
241,Warwick Avenue,526158,182030,51.52310413807906,-0.1829532911134564,2,W9 2PT
242,Waterloo,531050,179933,51.50314645678346,-0.1132592512581959,1,SE1 7NY
243,Watford,509579,196610,51.6576044159566,-0.4172699967299536,7,WD18 7LE
244,Wembley Central,518214,185039,51.55186429753856,-0.2963923219160409,4,HA9 6AG
245,Wembley Park,519373,186341,51.56332200349157,-0.2792425481111569,4,HA9 9AA
246,West Acton,519394,181273,51.51776969314101,-0.2806571709044868,3,W3 6UP
247,West Brompton,525383,178030,51.48732859696135,-0.1955388096704278,2,SW5 9JX
248,West Finchley,525507,191601,51.60926242118551,-0.1889171074792101,4,N3 1NT
249,West Ham,539202,182974,51.528525530726974,0.0053173938327879,3,E15 3BN
250,West Hampstead,525524,184726,51.54747402267271,-0.1911265834430952,2,NW6 2LX
251,West Harrow,514163,187957,51.578923661261655,-0.3538466898684307,5,HA1 4HE
252,West Kensington,524635,178321,51.490109027210565,-0.2062036922180267,2,W14 9NL
